experiment,Test,Train,test_minus_train_f1_macro
anomaly_flags,0.6492673267326732,0.9140744054045717,-0.26480707867189857
baseline_lightgbm,0.6714042601912038,0.9253852552581727,-0.2539809950669689
clip_anomaly_flags,0.6733136231154725,0.9186147645013112,-0.2453011413858387
exclude_expert_review_candidates,0.7252210906653845,0.9541846852152551,-0.22896359454987059
robust_clipping,0.6561196032794447,0.9214470924729077,-0.26532748919346294
rolling_clip_anomaly_flags,0.7137783983124155,0.9537338879444143,-0.23995548963199875
rolling_features,0.7116389357768669,0.9406492138075719,-0.22901027803070506
segment_threshold_policy,0.7506202480992397,0.9441879993572486,-0.19356775125800896
