split,accuracy,precision_macro,recall_macro,f1_macro,train_test_gap,overfitting_check
Train,0.9725358559658224,0.9833797985360593,0.882722144505205,0.9253852552581727,0.2539809950669689,주의: 과적합 가능성
Test,0.9060975609756098,0.8462087563451777,0.6267513611615245,0.6714042601912038,0.2539809950669689,주의: 과적합 가능성
