feature,bin,rows,error_rate,large_margin_error_rate,fp_count,fn_count,positive_rate
Flotation Column 05 Level,"(401.205, 497.84]",976,0.1096311475409836,0.01639344262295082,59,48,0.10553278688524591
Flotation Column 07 Level,"(401.026, 461.105]",976,0.09836065573770492,0.01639344262295082,54,42,0.09221311475409837
Flotation Column 01 Air Flow__std,"(1.331, 57.105]",976,0.10450819672131148,0.014344262295081968,63,39,0.10348360655737705
Flotation Column 06 Level,"(408.032, 497.7]",976,0.09631147540983606,0.014344262295081968,49,45,0.0932377049180328
Amina Flow,"(242.926, 435.32]",976,0.05635245901639344,0.014344262295081968,37,18,0.09631147540983606
elapsed_hours,"(2365.5, 3377.25]",976,0.05122950819672131,0.014344262295081968,14,36,0.06147540983606557
% Silica Feed,"(8.97, 13.85]",978,0.07157464212678936,0.014314928425357873,39,31,0.07259713701431493
dayofweek,"(5.0, 6.0]",552,0.11775362318840579,0.012681159420289856,47,18,0.10869565217391304
month,"(6.0, 7.0]",720,0.06666666666666667,0.0125,19,29,0.08611111111111111
Flotation Column 06 Level,"(497.7, 698.506]",976,0.04815573770491803,0.012295081967213115,22,25,0.08709016393442623
Flotation Column 07 Level,"(461.105, 655.502]",976,0.04610655737704918,0.010245901639344262,19,26,0.08811475409836066
Flotation Column 05 Level,"(497.84, 674.068]",976,0.0389344262295082,0.010245901639344262,19,19,0.06454918032786885
Flotation Column 04 Level,"(496.22, 675.632]",976,0.035860655737704916,0.009221311475409836,16,19,0.07581967213114754
